iter	RMSE
0	1.01206153
1	1.011927154
2	1.011876155
3	1.011752522
4	1.011636055
5	1.011616704
6	1.011508113
7	1.011467951
8	1.011367984
9	1.011273813
10	1.011185104
11	1.01110154
12	1.011022822
13	1.010994772
14	1.010922247
15	1.010897371
16	1.010830496
17	1.01081917
18	1.010797097
19	1.01073604
20	1.010678526
21	1.010624349
22	1.010606978
23	1.010556953
24	1.010541548
25	1.010495319
26	1.01048739
27	1.010444305
28	1.010437275
29	1.010424391
30	1.010412262
31	1.010373538
32	1.010337061
33	1.010302701
34	1.01029716
35	1.010287609
36	1.01025612
37	1.010247651
38	1.010218482
39	1.010191005
40	1.010165124
41	1.010161011
42	1.010136872
43	1.01013059
44	1.010126939
45	1.010121022
46	1.010115451
47	1.010093956
48	1.01007371
49	1.010069056
50	1.010050255
51	1.010047375
52	1.010029834
53	1.01001331
54	1.009997747
55	1.009995482
56	1.009980954
57	1.0099777
58	1.009964204
59	1.009951492
60	1.009939518
61	1.009937839
62	1.009935277
63	1.009933695
64	1.009922754
65	1.009920481
66	1.009910308
67	1.009908292
68	1.009906394
69	1.009904607
70	1.009895355
71	1.009886641
72	1.009885148
73	1.009883971
74	1.009875918
75	1.009868332
76	1.009861188
77	1.009854458
78	1.009853586
79	1.009852765
80	1.009851992
81	1.009851265
82	1.009845112
83	1.009839316
84	1.009838331
85	1.009837722
86	1.009836794
87	1.009831482
88	1.009826477
89	1.009825969
90	1.009821285
91	1.009820835
92	1.009820411
93	1.009820011
94	1.009819279
95	1.009818903
96	1.009818213
97	1.009817858
98	1.009813646
99	1.009809678
